DateTime	ProductSlot	AmountAccepted	ChangeTendered
06/10/2016 16:52:21	Stackers A2	$10.00	8.25
06/10/2016 18:26:23	Stackers A2	$10.00	8.25
06/10/2016 18:27:57	Stackers A2	$3.00	1.25
06/10/2016 18:29:54	Stackers A2	$3.00	1.25
06/10/2016 18:30:57	Stackers A2	$3.00	1.25
06/10/2016 18:33:35	Stackers A2	$2.00	0.25
06/10/2016 18:34:37	Stackers A2	$2.00	0.25
06/10/2016 18:36:27	Stackers A2	$2.00	0.25
06/10/2016 18:43:44	Stackers A2	$3.00	1.25
06/10/2016 18:43:44	Potato Crisps A1	$7.25	4.0
06/10/2016 18:46:58	Potato Crisps A1	$5.00	1.75
06/10/2016 18:46:58	Stackers A2	$1.75	0.0
06/10/2016 18:46:58	Stackers A2	$2.00	0.25
06/10/2016 18:49:16	Potato Crisps A1	$10.00	6.75
06/10/2016 18:49:16	Stackers A2	$6.75	5.0
06/10/2016 18:49:16	Stackers A2	$5.00	3.25
06/10/2016 18:49:16	Stackers A2	$3.25	1.5
06/10/2016 18:49:16	Grain Waves A3	$6.00	3.25
06/10/2016 18:49:16	Stackers A2	$3.25	1.5
06/10/2016 18:49:16	Stackers A2	$2.00	0.25
06/10/2016 19:11:19	Potato Crisps A1	$12.00	8.75
06/10/2016 19:11:19	Stackers A2	$8.75	7.0
06/10/2016 19:11:19	Grain Waves A3	$7.00	4.25
06/10/2016 19:11:19	Stackers A2	$4.25	2.5
06/10/2016 19:12:50	Potato Crisps A1	$12.00	8.75
06/10/2016 19:12:50	Grain Waves A3	$8.75	6.0
06/10/2016 19:12:50	Stackers A2	$6.00	4.25
06/10/2016 19:12:50	Grain Waves A3	$4.25	1.5
06/10/2016 19:12:50	Stackers A2	$12.00	10.25
06/10/2016 19:12:50	Cowtales B2	$10.25	8.75
06/10/2016 19:12:50	Stackers A2	$8.75	7.0
06/10/2016 19:12:50	Wonka Bar B3	$12.00	10.5
06/10/2016 19:12:50	Cola C1	$10.50	9.25
06/10/2016 19:12:50	Stackers A2	$9.25	7.5
06/10/2016 19:18:21	Cloud Popcorn A4	$12.00	8.5
06/10/2016 19:18:21	Grain Waves A3	$8.50	5.75
06/10/2016 19:18:55	Potato Crisps A1	$12.00	8.75
06/10/2016 19:18:55	Stackers A2	$8.75	7.0
06/10/2016 19:18:55	Grain Waves A3	$7.00	4.25
06/10/2016 19:18:55	Cloud Popcorn A4	$4.25	0.75
06/10/2016 19:22:03	Potato Crisps A1	$12.00	8.75
06/10/2016 19:22:12	Stackers A2	$12.00	10.25
06/10/2016 19:22:15	Grain Waves A3	$10.25	7.5
06/10/2016 19:22:17	Cloud Popcorn A4	$7.50	4.0
07/10/2016 10:21:08	Stackers A2	$10.00	8.25
07/10/2016 11:47:16	Stackers A2	$10.00	8.25
07/10/2016 11:47:38	Stackers A2	$5.00	3.25
07/10/2016 11:47:58	Triplemint D4	$90.00	89.25
07/10/2016 11:48:02	Mountain Melter C3	$89.25	87.75
07/10/2016 11:48:06	Stackers A2	$87.75	86.0
07/10/2016 12:12:07	Grain Waves A3	$10.00	7.25
07/10/2016 12:31:28	Potato Crisps A1	$12.00	8.75
07/10/2016 13:21:56	Chiclets D3	$564,765,486.00	5.6476548525E8
